Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
OCLS,"Oculus Innovative Sciences, Inc.",0.98,$17.17M,2007,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/ocls
OCLSW,"Oculus Innovative Sciences, Inc.",0.24,n/a,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/oclsw
OMEX,"Odyssey Marine Exploration, Inc.",2.78,$20.96M,n/a,Consumer Services,Marine Transportation,http://www.nasdaq.com/symbol/omex
ODP,"Office Depot, Inc.",5.87,$3.24B,n/a,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/odp
OFS,OFS Capital Corporation,13.2,$127.92M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ofs
OHAI,OHA Investment Corporation,2.83,$57.09M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ohai
OVBC,Ohio Valley Banc Corp.,21.89,$90.67M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/ovbc
OHRP,"Ohr Pharmaceuticals, Inc.",3.26,$102.57M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/ohrp
ODFL,"Old Dominion Freight Line, Inc.",66.05,$5.54B,1991,Transportation,Trucking Freight/Courier Services,http://www.nasdaq.com/symbol/odfl
OLBK,"Old Line Bancshares, Inc.",18.48,$199.63M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/olbk
ONB,Old National Bancorp,13.38,$1.53B,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/onb
OPOF,Old Point Financial Corporation,19.1,$94.72M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/opof
OSBC,"Old Second Bancorp, Inc.",7.16,$211.1M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/osbc
OSBCP,"Old Second Bancorp, Inc.",10.29,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/osbcp
OLLI,"Ollie&#39;s Bargain Outlet Holdings, Inc.",26.45,$1.59B,2015,Consumer Services,Department/Specialty Retail Stores,http://www.nasdaq.com/symbol/olli
ZEUS,"Olympic Steel, Inc.",22.6,$247.58M,1994,Basic Industries,Metal Fabrications,http://www.nasdaq.com/symbol/zeus
OFLX,"Omega Flex, Inc.",32.94,$332.42M,n/a,Capital Goods,Industrial Specialties,http://www.nasdaq.com/symbol/oflx
OMER,Omeros Corporation,13.25,$506.91M,2009,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/omer
OMCL,"Omnicell, Inc.",31.85,$1.14B,2001,Technology,Computer Manufacturing,http://www.nasdaq.com/symbol/omcl
ON,ON Semiconductor Corporation,9.47,$3.9B,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/on
OTIV,On Track Innovations Ltd,0.87,$35.53M,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/otiv
OGXI,OncoGenex Pharmaceuticals Inc.,0.975,$29.07M,n/a,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,http://www.nasdaq.com/symbol/ogxi
OMED,"OncoMed Pharmaceuticals, Inc.",12.4,$375.42M,2013,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/omed
ONTX,"Onconova Therapeutics, Inc.",0.4706,$12.89M,2013,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/ontx
